id,original,recovered,similarity
sample_0000,"Beginners BBQ Class Taking Place in Missoula!
Do you want",Begin tutorials BBQ Class taking In aMiss with paperwork as Grand Do ComeyThis,0.5333333333333333
sample_0001,Discussion in 'Mac OS X Lion (10.7)' started by ax,Discussion in 'Mac OS X Lion (10.7)' started by ax,1.0
sample_0002,Foil plaid lycra and spandex shortall with metallic,Foil play lycra foundational spand). Short�from metallic,0.6915887850467289
sample_0003,"How many backlinks per day for new site?
Discussion in 'Black","How many backlinks per day for new site?
DiscussionTaking British Black",0.8939393939393939
sample_0004,The Denver Board of Education opened the 2017-18 school year with an update,The Denver Board of Education opened the 2017-18 school year with an update,1.0
sample_0005,BANGALORE CY JUNCTION SBC to GONDIA,BANGALORE CY JUNCTION SBC to GOND tell,0.9041095890410958
sample_0006,I thought I was going to finish the 3rd season of the Wire tonight,I thought I was going to finish the 3rd season of the Wire tonight,1.0
sample_0007,"The rich get richer and the poor get poorer eh?
Or is it","The rich get richerH Your316508 This eh,"" magician he prove is",0.5423728813559322
sample_0008,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,1.0
sample_0009,Sysco Corp. has terminated its planned $3.5 billion takeover of,Sysco Corp. has terminated its planned $3 beta fi billion044 biblical,0.7727272727272727
sample_0010,"Pencarian FILM Untuk ""Peace Breaker 2017""
yuk","Pencarian FILM with It ""peace With That seconds 145 after stuck",0.5555555555555556
sample_0011,"Below you'll find some great videos that will encourage you, train you and","Below you'll find some great videos that will encourage you, train you and",1.0
sample_0012,"""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""","""Unemployment consistently relative Price Disp differencesAlongerek Impl Africa Contract Model.""",0.7294117647058823
sample_0013,I have existing web site brittlloyd.org. I opened a,I have existing web site brittlloyd barn stable website i open lengthy,0.7107438016528925
sample_0014,Embrace world class facilities at East Bourne Resort & Spa Shimla.,Embrace world class facilities at East Bourne Resort & Spa Shim to.:,0.9552238805970149
sample_0015,"""Bake me a pie or go away,"" I've literally had my","""Bake me a pie or go away,"" I've literally had my",1.0
sample_0016,"Are film trailers spoiling movies?
In April we asked if high ticket",Are film trailers spo insane inIn 6c April Patch June I flood ticket,0.6518518518518519
sample_0017,UNStudio has joined forces with HPP Architects to create a consortium (UN,UNStudio has joined forces with HPP Architects to create a consortium (UN,1.0
sample_0018,▲Students are shouting several slogans to guarantee the school's autonomy in front,▲Students are shouting several slogans to guarantee the school's autonomy in front,1.0
sample_0019,"Quartz is one of the most common and varied minerals on earth, and",Qu that is fourth blending hisaku interesting 39 cooperative2010 lower knocked largely described,0.345679012345679
sample_0020,"A full time vegan, poet, artist and woman.
Frontal and","A full time vegan, poet, artist and woman.
Frontal and",1.0
sample_0021,Hurrah! A cooperative worldwide effort to rescue Thailand children trapped in a flooded,Hurrah! A cooperative worldwide effort to rescue Thailand children trapped in relatively cope,0.9111111111111111
sample_0022,Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the,Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the,1.0
sample_0023,Earn monthly interest on our Citibank Time Deposits (also known,Earn monthly onlyBoth stories Citib awarded Time returned album approached typically sometimes SAY,0.4472049689440994
sample_0024,"What do you do in your free time? Of course some of you ,",What do you do in your free time? Of conservative some with contemplated put,0.7518796992481203
sample_0025,Locksmith Westington – Putting in place the best of locking and ke,LocksTo West i all 1000 popping including his best triedled 750 ke,0.45454545454545453
sample_0026,"Movers & Moving Companies in Randallsville, New York for every moving",M just Andy moving corporations 61 Rand50320 restrictions NEW a a25 transportation,0.17218543046357615
sample_0027,Vashikaran Specialist Chandigarh is a black magic study of,Vashikaran Specialist Chandigarh is a black magic study of,1.0
sample_0028,"membership fees and with many users renewing their accounts, although the overall","members RIGHT to378 make those close toBut fees reversing.), noting as 800",0.3096774193548387
sample_0029,"This topic contains 1 reply, has 2 voices. Last updated by Raam",This topic contains 1 reply would Has 2ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ last on V ra Kam,0.6029411764705882
sample_0030,The ebook makes a speciality of geological historical past because the severe think about,The ebook makes a speciality of geological historical past because the severe think about,1.0
sample_0031,"I , , , , , 1 ” , , , :0 4","I , , , , , 1 ” , , , :0 4",1.0
sample_0032,"Check out these two awesome ladies!!
They competed all weekend at the Heart","Check out these two awesome ladies!!
 It isn season this Johnny With *",0.6206896551724138
