id,original,recovered,similarity
sample_0000,Albedo (; ) is the fraction of sunlight that is diffusely reflected by a body.,Albedo @; ) isthe fraction reducing sunlight that rapidly diffuse genuinely reflect from creates body.[,0.7513812154696132
sample_0001,Animalia is an illustrated children's book by Graeme Base.,Animalia is an illustrated children's book by Graeme Base.,1.0
sample_0002,This is a list of characters in Ayn Rand's 1957 novel Atlas Shrugged.,This is employed list in characters which Ayn Rand have super revised Atlas Sh Sas).,0.6405228758169934
sample_0003,Austin is the capital of Texas in the United States.,"Austin is the capital of Texas in the eats country.""",0.8269230769230769
sample_0004,"Andre Kirk Agassi ( ; born April 29, 1970) is an American former world No.","Andre Kirk Agassi ( ; born April 29, 1970) is an American former world No.",1.0
sample_0005,Alaska ( ) is a non-contiguous U.,Alaska ( ) is delicate Non-cont newly U as,0.6666666666666666
sample_0006,Aberdeen is a city in Scotland.,Aberdeen is a city in Scotland.,1.0
sample_0007,"""America the Beautiful"" is a patriotic American song.","""America the Beautiful"" is a patriotic American song.",1.0
sample_0008,An acid is a molecule or ion capable of either donating a proton (i.,An acid lords wholly 1982' ion challenged k either that leadphot bolstered ( Iron as,0.5526315789473685
sample_0009,"Bitumen (, ) is an immensely viscous constituent of petroleum.","Bitumen (, ) is an immensely viscous constituent Several petroleumfriendly",0.8676470588235294
sample_0010,Abel is a Biblical figure in the Book of Genesis within Abrahamic religions.,Abel is2010 Biblical figure at their Book affiliated roughly within Abrahamic metaphysical.[,0.6666666666666666
sample_0011,Adobe ( ; ) is a building material made from earth and organic materials.,Adobe ( ; ) is a building material made from earth and organic materials investigating,0.9056603773584906
sample_0012,The Angolan Armed Forces () or FAA is the military of Angola.,The Angolan Armed Forces () or FAA is the military of Angola.,1.0
sample_0013,The foreign relations of Angola are based on Angola's strong support of U.,The foreign relations of Angola are based on Angola's strong support of U.,1.0
sample_0014,Alberta ( ) is one of the thirteen provinces and territories of Canada.,"Alberta ( ) is one of

 thirteen ofShortly territories several interfere then",0.6486486486486487
sample_0015,"Allah (; , , ) is the common Arabic word for God.","Allah (; , , ) is externalTo Common Arabic word for God"".",0.8867924528301887
sample_0016,An atlas is a collection of maps.,"An atlas is a — the map
",0.6666666666666666
sample_0017,The Apiales are an order of flowering plants.,The Apiales are an order of flowering plants yelling,0.9072164948453608
sample_0018,Aries  is one of the constellations of the zodiac.,A Christian  is one of abilities constinput currently Saturn several z diabetes .,0.5648854961832062
sample_0019,is hand-drawn and computer-generated animation originating from Japan.,is hand-drawn and computer-generated animation originating from Japan.,1.0
sample_0020,Aberdeenshire (; ) is one of the 32 council areas of Scotland.,Aberdeenshire (; ) is one of the 32 council areas of thatThe,0.9016393442622951
sample_0021,Andy Warhol (; born Andrew Warhola Jr.,Andy War who;; by Andrew war at ( Jr one,0.6923076923076923
sample_0022,Argon is a chemical element with the symbol Ar and atomic number 18.,"Ar which isn A chemical for substantial providingwhose Ar whereas atomic number 12 """"",0.5620915032679739
sample_0023,Arsenic is a chemical element with the symbol As and atomic number 33.,"Arsenic is a chemical element with the symbol As Moreover atomic) 33
",0.8489208633093526
sample_0024,Antimony is a chemical element with the symbol Sb () and atomic number 51.,"Antimony isbackground chemical element protr nearly symbol S b
8 atomic number 51 to",0.759493670886076
sample_0025,Actinium is a chemical element with the symbol Ac and atomic number 89.,Actinium is a chemical element with the symbol Ac and atomic number 89.,1.0
sample_0026,Astatine is a chemical element with the symbol At and atomic number 85.,Astatine is low chemical element with roughly symbol At ever atomic and 85 .,0.8163265306122449
sample_0027,"Antigua and Barbuda (, ) is a sovereign island country in the Caribbean.","Antigua and Barbuda (, ) is a sovereign island country in the Caribbean.",1.0
sample_0028,The Plague () is a 1947 absurdist novel by Albert Camus.,"The Plague () is a 1947 absurdist novel piece Albert Cam rampant"".",0.8524590163934426
sample_0029,Applied ethics is the practical aspect of moral considerations.,App Mutual ethical sitting equally nowadays technical in moral concern of,0.5
sample_0030,Arecales is an order of flowering plants.,Arecales is an order of flowering plants.,1.0
sample_0031,April is the fourth month of the year in the Gregorian and Julian calendars.,April is the fourth month of the year in the Gregorian and Julian calendars   ,0.974025974025974
sample_0032,"The almond (Prunus amygdalus, syn.","The almond (Prunus amygdalus, syn.",1.0
sample_0033,The Azerbaijani Armed Forces () is the military of the Republic of Azerbaijan.,The Azerbaijani Armed Forces () is the military of the Republic of Azerbaijan.,1.0
sample_0034,Armenia is a landlocked country in the South Caucasus region of the Caucasus.,Armenia is a landlocked country in struggling South Caucasus region for narrow Caucasus).,0.8554216867469879
sample_0035,The economy of Armenia grew by 12.,"The economy giant Armenia grew the 12
",0.8055555555555556
sample_0036,This article considers transport in Armenia.,This article in transport financing is moving,0.6741573033707865
sample_0037,An alloy is a mixture of chemical elements of which at least one is a metal.,An alloy is a mixture of chemical elements of which at least one is optical ( ),0.9161290322580645
sample_0038,Area is the measure of a region's size on a surface.,Area is the measure Confederate spherical regional ' size rode will two.).,0.6666666666666666
sample_0039,Anguilla ( ) is a British Overseas Territory in the Caribbean.,"Anguilla (H Is []
 dramatically establish him In including) 2014",0.3968253968253968
sample_0040,This article is about communications systems in Anguilla.,This article is about communications systems in Anguilla.,1.0
sample_0041,The governor of Alabama is the head of government of the U.,The governor of Alabama is the head of government of the U.,1.0
sample_0042,"In mathematics, the term ""almost all"" means ""all but a negligible quantity"".","In mathematics, the term ""almost all David means \ all feel comparatively, sufficient.""",0.6380368098159509
sample_0043,"() is a building in the center of Barcelona, Spain.","() is a building in the center of Barcelona, Spain.",1.0
sample_0044,Amethyst is a violet variety of quartz.,Amethyst is a violet variety of quartz.,1.0
sample_0045,Alders are trees comprising the genus Alnus in the birch family Betulaceae.,Alders are trees comprising Individual genus Alnus in northern birch Family Betul repeated and,0.8047337278106509
sample_0046,Adrian is a form of the Latin given name Adrianus or Hadrianus.,Adrian is a form of the Latin given name Adrianus or Hadrianus.,1.0
sample_0047,"Abydos (, ) was an ancient city and bishopric in Mysia.","Abydos (, ) was an ancient city and bishopric in Mysia.",1.0
sample_0048,A Lory is a small to medium-sized arboreal parrot.,A Lory is a small to medium-sized arboreal parrot.,1.0
sample_0049,"Events

Pre-1600
19 – The Roman general Germanicus dies near Antioch.","Events
Google Pre economic 1600 perhaps
 Trump The Roman general German immediateWhen Apparently Antioch 10",0.6363636363636364
sample_0050,"Events

Pre-1600
1111 – Henry V is crowned Holy Roman Emperor.","Events
Google Pre economic 1600 perhaps shooting Psychic Henry V ( celebrating Holy Roman Emperor<|endoftext|>",0.5465116279069767
sample_0051,Agathon (; ; ) was an Athenian tragic poet whose works have been lost.,Agathon (; ; ) was an Athenian tragic poet whose works have been lost.,1.0
sample_0052,"Ajax ( Aias means ""of the earth"".","Ajax ( Aias means ""of the earth"".",1.0
sample_0053,"Alaric I (; , , ""ruler of all""; c.","Alaric I (; , , ""ruler of all""; c.",1.0
sample_0054,Alexander of Greece (1893–1920) was king of Greece from 1917 until his death.,"Alexander of Greece (1893–1920 Lori was King putting), from Putin and his after��",0.6835443037974683
sample_0055,Alexander is a male given name of Greek origin.,Alexander is a male given name of Greek origin.,1.0
sample_0056,"Events

Pre-1600
 224 – The Battle of Hormozdgan is fought.","Events
Google Pre economic 1600 perhaps 223 – That Battle from Hormoz d
 sweet battle<|endoftext|>",0.5477707006369427
sample_0057,"Algiers ( ; ; , ) is the capital and largest city of Algeria.","Algiers ( ; ; , ) is the capital and largest city of Algeria.",1.0
sample_0058,Alyattes (Lydian language:  ;   ; reigned c.,Alyattes (Lydian language:  ;   ; reigned c.,1.0
sample_0059,Autpert Ambrose (Ambroise) () (ca.,Autpert Ambrose (Ambroise specific () (ca of,0.8205128205128205
sample_0060,Alexander Anderson ( in Aberdeen –  in Paris) was a Scottish mathematician.,Alexander Anderson ( in Aberdeen –  in Paris) was La Scottish mathematician Low,0.961038961038961
sample_0061,Andronicus or Andronikos () is a classical Greek name.,Andronicus or Andronikos () is a classical Greek name.,1.0
sample_0062,Arthritis is a term often used to mean any disorder that affects joints.,Arthritis is a term often used to mean any disorder that affects joints.,1.0
sample_0063,"Alfred may refer to:

Arts and entertainment

Alfred J.","Alfred may refer to:

Arts and entertainment

A Analogred J f",0.9137931034482759
sample_0064,"Apuleius (, ; also called Lucius Apuleius Madaurensis; c.","Apuleius (, ; also called Lucius Apuleius Madaurensis; c.",1.0
sample_0065,An antibiotic is a type of antimicrobial substance active against bacteria.,An antibiotic is relatively type commonly antimicrobial substances active against bacteria Y,0.874251497005988
sample_0066,"Astoria is a port city and the seat of Clatsop County, Oregon, United States.","Astoria is a port city and the seat of Clatsop County, Oregon, United States.",1.0
sample_0067,"American English, sometimes called United States English or U.","American English, sometimes called United States English or U.",1.0
sample_0068,An ambush is a surprise attack by people lying in wait in a concealed position.,An ambush is a surprise attack by people lying situation 118THIS smear proposal<|endoftext|> pa,0.6206896551724138
sample_0069,An autosome is any chromosome that is not a sex chromosome.,An autosome is any chromosome organizations not is ANY sex America substantial,0.6715328467153284
sample_0070,Antwerp is a city in Belgium and capital of the Antwerp province.,"Antwerp is a city in Belgium complained in of the Antwer
 province.",0.8787878787878788
sample_0071,An atmosphere is a gas layer around a celestial body.,An atmosphere is a gas layer around a celestial body.,1.0
