id,original,recovered,similarity
sample_0000,"Beginners BBQ Class Taking Place in Missoula!
Do you want","Begin skills BBQ ClassTaking While this Miss 267
! PSDo you want",0.7272727272727273
sample_0001,Discussion in 'Mac OS X Lion (10.7)' started by ax," on of), Mac OS x Lion (10 for7 to started by_",0.6666666666666666
sample_0002,Foil plaid lycra and spandex shortall with metallic,Foil plaid lycra and spandex shortall with metallic,1.0
sample_0003,"How many backlinks per day for new site?
Discussion in 'Black","How many backlinks per day for new site?
Discussion in 'Black",1.0
sample_0004,The Denver Board of Education opened the 2017-18 school year with an update,The Denver Board of Education opened the 2017-18 school year with an update,1.0
sample_0005,BANGALORE CY JUNCTION SBC to GONDIA,BANGALORE CY JUNCTION SBC to GONDIA,1.0
sample_0006,I thought I was going to finish the 3rd season of the Wire tonight,I thought I was going to finish the 3rd season of the Wire tonight,1.0
sample_0007,"The rich get richer and the poor get poorer eh?
Or is it",The rich get richerH Makes Neither populations prosperity eh]. p and IS explanation,0.38848920863309355
sample_0008,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,1.0
sample_0009,Sysco Corp. has terminated its planned $3.5 billion takeover of,"Sysco Corp. has terminated its planned $3 testing both And takeover
",0.8244274809160306
sample_0010,"Pencarian FILM Untuk ""Peace Breaker 2017""
yuk","Pencarian FILM Untuk ""Peace Breaker 2017""
yuk",1.0
sample_0011,"Below you'll find some great videos that will encourage you, train you and","Below you'll find some great videos that will encourage you, train you and",1.0
sample_0012,"""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""","""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""",1.0
sample_0013,I have existing web site brittlloyd.org. I opened a,I have existing web site brittlloyd....... Our are as Teddy 80,0.7610619469026548
sample_0014,Embrace world class facilities at East Bourne Resort & Spa Shimla.,Embrace world class facilities at East Bourne Resort & Spa Shim by.,0.9624060150375939
sample_0015,"""Bake me a pie or go away,"" I've literally had my","""Bake me a pie or go away,"" I've literally had my",1.0
sample_0016,"Are film trailers spoiling movies?
In April we asked if high ticket","Are film trailers spoiling movies?
In April we asked if high ticket",1.0
sample_0017,UNStudio has joined forces with HPP Architects to create a consortium (UN,UNStudio has joined forces with HPP Architects to create a consortium (UN,1.0
sample_0018,▲Students are shouting several slogans to guarantee the school's autonomy in front,▲Students are shouting several slogans to guarantee the school's autonomy in past,0.9570552147239264
sample_0019,"Quartz is one of the most common and varied minerals on earth, and","Qu 5 is one still doing mostinclude has continually produced mentioning., geological Their",0.4230769230769231
sample_0020,"A full time vegan, poet, artist and woman.
Frontal and","A full time vegan, poet, artist and woman.
Frontal and",1.0
sample_0021,Hurrah! A cooperative worldwide effort to rescue Thailand children trapped in a flooded,Hurrah! A cooperative worldwide effort to rescue Thailand children trapped in a flooded,1.0
sample_0022,Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the,Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the,1.0
sample_0023,Earn monthly interest on our Citibank Time Deposits (also known,"Earn monthly<|endoftext|>., chicken CitIB A Time SubWhatever taking ""( which continuation",0.4342105263157895
sample_0024,"What do you do in your free time? Of course some of you ,","What do you do in your free time? Of print somePerhaps."") after",0.75
sample_0025,Locksmith Westington – Putting in place the best of locking and ke,"Locks but West
 – from the were that better was Lock kitchen ke",0.4806201550387597
sample_0026,"Movers & Moving Companies in Randallsville, New York for every moving",M just & MovingCompany this Rand ins after four New incorporated regarding perorganized,0.5256410256410257
sample_0027,Vashikaran Specialist Chandigarh is a black magic study of,"Vashikaran Specialist Chandigar ( is serves color a
 proved",0.6495726495726496
