id,original,recovered,similarity
sample_0000,"Beginners BBQ Class Taking Place in Missoula!
Do you want",Begin workspace BBQ Class Taking place Fighters Missoul has/Di DoT Want,0.703125
sample_0001,Discussion in 'Mac OS X Lion (10.7)' started by ax,Discussion in 'Mac OS X Lion_1000000 630.' started Drivers ax,0.7927927927927928
sample_0002,Foil plaid lycra and spandex shortall with metallic,Foil plaid lycra and spandex shortall applyingali,0.84
sample_0003,"How many backlinks per day for new site?
Discussion in 'Black","How many backlinks per day for new site?
Discussionnin ` Black",0.959349593495935
sample_0004,The Denver Board of Education opened the 2017-18 school year with an update,The Denver Board of Education opened the 2017-18 school year with anBefore,0.9261744966442953
sample_0005,BANGALORE CY JUNCTION SBC to GONDIA,BANGALORE CY JUNCTION SBC to GONDIA,1.0
sample_0006,I thought I was going to finish the 3rd season of the Wire tonight,I thought I was going to finish the 3rd season of the Wire tonight,1.0
sample_0007,"The rich get richer and the poor get poorer eh?
Or is it","The rich get richerH Makes Neither populations neglig eh lift
fil makes my",0.5846153846153846
sample_0008,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,Biomedics 1 Day Extrascription dailymounted disposable contact Sethwatch Cooper currently,0.6896551724137931
sample_0009,Sysco Corp. has terminated its planned $3.5 billion takeover of,Sysco Corpate has an out ?)imarThe022 despised recipient takeover selecting,0.4782608695652174
sample_0010,"Pencarian FILM Untuk ""Peace Breaker 2017""
yuk","Pencarian FILM Untuk ""Peace Breaker 2017""
yuk",1.0
sample_0011,"Below you'll find some great videos that will encourage you, train you and","Below you'll find some great videos that will encourage you, train you and",1.0
sample_0012,"""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""","""Unemploymentado Relative Price Disp inconsistency Establishmentال Implicit Contract modeling.'""",0.7647058823529411
sample_0013,I have existing web site brittlloyd.org. I opened a,I have existing web site brittlloyd________________________python biologist >> opened satell,0.6573426573426573
sample_0014,Embrace world class facilities at East Bourne Resort & Spa Shimla.,Embrace world class facilities at East Bourne Resort & Spa Shimla.,1.0
sample_0015,"""Bake me a pie or go away,"" I've literally had my","""Bake me a pie or go away,"" I've literally had my",1.0
sample_0016,"Are film trailers spoiling movies?
In April we asked if high ticket","Are film trailers spoiling movies?
In grow
 asked that in ticket",0.8396946564885496
sample_0017,UNStudio has joined forces with HPP Architects to create a consortium (UN,UNStudio has joined forces with HPP Architects to create a consortium (UN,1.0
sample_0018,▲Students are shouting several slogans to guarantee the school's autonomy in front,▲Students are shouting several slogans to guarantee the school's autonomy in confirms,0.9461077844311377
sample_0019,"Quartz is one of the most common and varied minerals on earth, and",Qu the isn legit ZachPlatform our common folklore advantages minerals muttered.} renting physicists,0.4121212121212121
sample_0020,"A full time vegan, poet, artist and woman.
Frontal and","A full time vegan accepting poet debate gent., Goddess.""08 FrontAL aerial",0.5196850393700787
sample_0021,Hurrah! A cooperative worldwide effort to rescue Thailand children trapped in a flooded,Hurrahoses a cooperative worldwide effort to rescue Thailand under trapped across spherical flooded,0.8279569892473119
sample_0022,Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the,"Learn bitter fundamentals to Flash succinct this PrideasiveRepeat—""/. introductory Ronnie hence",0.6455026455026455
sample_0023,Earn monthly interest on our Citibank Time Deposits (also known,"Earn monthly<|endoftext|>., Homo Citibforcement TimeDeposTheir CAD plazaaun",0.5797101449275363
sample_0024,"What do you do in your free time? Of course some of you ,",What do you do in your free time? canned refusal some of suburKind,0.7642276422764228
sample_0025,Locksmith Westington – Putting in place the best of locking and ke,Locksmith West to thedog econom 4096 gluten cats in lock applicants ke,0.5147058823529411
sample_0026,"Movers & Moving Companies in Randallsville, New York for every moving",M just vonanding Industry comes Randalls affordability Norfolk New York 295 appeal Moving,0.5063291139240507
sample_0027,Vashikaran Specialist Chandigarh is a black magic study of,Vashikaran Specialist Chandigar ( are pedestrian black esoteric study embraces,0.7352941176470589
sample_0028,"membership fees and with many users renewing their accounts, although the overall",members election feesuity shaved coveringStatistics renew Korean a Russian received­ better lasting,0.32222222222222224
sample_0029,"This topic contains 1 reply, has 2 voices. Last updated by Raam",This topic contains 1 reply page chemically proven voicedyeah Last updated adopting RaAm,0.7284768211920529
sample_0030,The ebook makes a speciality of geological historical past because the severe think about,The ebook makes a speciality of geological historical past because the severe think about,1.0
sample_0031,"I , , , , , 1 ” , , , :0 4","I , , , , , 1 ” , , , :0 4",1.0
sample_0032,"Check out these two awesome ladies!!
They competed all weekend at the Heart","Check outastwo
ment!
 Cornwall competed all weekend sy cowardly Heart",0.6388888888888888
sample_0033,"* 2. How was the session?
* 4. What would you","* 2. How was the session?
*gment repWhat'snormal",0.7311827956989247
sample_0034,The Champion work “Uncle Ian III (Into the Unknown�,The Champion work “Uncle Ian III takesint against distorted Unknown�,0.7899159663865546
sample_0035,"Currently there are 3 websites listed for this state.
We are committed to",Currently there are 3 websites listed for this state. minion were recreational Gamble up,0.7701863354037267
sample_0036,The blog deals with new theories and observations in relation to the composition and structure,The blog deals with new theoriesFuck observations in relation to the composing and arrangement,0.8404255319148937
sample_0037,2 New England     NE  16  1 plays  -,2 New England     NE  16  1 plays  -,1.0
sample_0038,One of the biggest games in the world is now available on smartphones around the,One of the biggest games in the world is now available on one is the,0.8918918918918919
sample_0039,Volunteers are vital to Thames Reach in our efforts to end street homelessness,Volunteers are vital to Thames Reach in our efforts to end street homelessness,1.0
sample_0040,Volunteers are needed to help with the Assembly for Children at the 99,Volunteers are needed to help with the Assembly for Children at the 99,1.0
sample_0041,Jomsom Muktinath Trek is an exciting trek in the Annap,Joms Yep Muktinath Trek Santorumincreasing truly side to ofAnnap,0.6440677966101694
sample_0042,"After the martyrdom of St. Boniface, Vergilius",After the martyrdomacious St st Bonif distraught Deity Verg Italianius,0.6896551724137931
