id,original,recovered,similarity
sample_0000,"Beginners BBQ Class Taking Place in Missoula!
Do you want",Begin Skillsbecue ClassTaking our strengthenedMiss nice robbed Alternative SzDo and Want,0.4827586206896552
sample_0001,Discussion in 'Mac OS X Lion (10.7)' started by ax,Discussion in 'Mac OS X Lionof 10. in]' started the ax,0.8653846153846154
sample_0002,Foil plaid lycra and spandex shortall with metallic,Foil plaid lycra and spandex shortall WITH Secondary,0.7961165048543689
sample_0003,"How many backlinks per day for new site?
Discussion in 'Black","How many backlinks per day for new site?
Discussion in 'Black",1.0
sample_0004,The Denver Board of Education opened the 2017-18 school year with an update,The Denver Board of Education opened the 2017-18 school year with anBefore,0.9261744966442953
sample_0005,BANGALORE CY JUNCTION SBC to GONDIA,BANGALORE CY JUNCTION SBC to GONDIA,1.0
sample_0006,I thought I was going to finish the 3rd season of the Wire tonight,I thought I was going to finish the 3rd season of the Wire tonight,1.0
sample_0007,"The rich get richer and the poor get poorer eh?
Or is it",The rich get richer Packsple poorest poorest ceased eh.? aquOr declares NP,0.676923076923077
sample_0008,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,Biomedics 1 Day Extracks incorpor replacement disposable contact peanuts Using Cooper objective,0.7444444444444445
sample_0009,Sysco Corp. has terminated its planned $3.5 billion takeover of,Sysco Corpatives has terminated its planned z crowded ­ EPS recommend takeover of,0.7361111111111112
sample_0010,"Pencarian FILM Untuk ""Peace Breaker 2017""
yuk","Pencarian FILM Untuk ""Peace Breaker 2017""
yuk",1.0
sample_0011,"Below you'll find some great videos that will encourage you, train you and","Below you'll find some great videos that will encourage you, train you and",1.0
sample_0012,"""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""","""Unemploymentado Relative Price Disp inconsistency Strategic >> Implicit Contract Model.'""",0.7926829268292683
sample_0013,I have existing web site brittlloyd.org. I opened a,"I have existing web site brittlloyd�(' page
 opened goose",0.8148148148148148
sample_0014,Embrace world class facilities at East Bourne Resort & Spa Shimla.,Embrace world class facilities at East Bourne Resort & Spa Shimla.,1.0
sample_0015,"""Bake me a pie or go away,"" I've literally had my","""Bake me a pie or go away fire I'm literally getting collaborating",0.6956521739130435
sample_0016,"Are film trailers spoiling movies?
In April we asked if high ticket","Are film trailers spoiling movies?
In tapzona asks wasHigh ticket",0.8181818181818182
