id,original,recovered,similarity
sample_0000,"Beginners BBQ Class Taking Place in Missoula!
Do you want",Begin instructors BBQ Class Taking battle on Miss intentional -! hDo you want,0.7313432835820896
sample_0001,Discussion in 'Mac OS X Lion (10.7)' started by ax,Discussion in 'Mac OS X Lion (10.7)' started by ax,1.0
sample_0002,Foil plaid lycra and spandex shortall with metallic,Foil plaid lycra and spandex shortall with metallic,1.0
sample_0003,"How many backlinks per day for new site?
Discussion in 'Black","How many backlinks per day for new site?
Discussion in 'Black",1.0
sample_0004,The Denver Board of Education opened the 2017-18 school year with an update,The Denver Board of Education opened the 2017-18 school year with an update,1.0
sample_0005,BANGALORE CY JUNCTION SBC to GONDIA,BANGALORE CY JUNCTION SBC to GOND getting,0.868421052631579
sample_0006,I thought I was going to finish the 3rd season of the Wire tonight,I thought I was going to finish the 3rd season of the Wire tonight,1.0
sample_0007,"The rich get richer and the poor get poorer eh?
Or is it","The rich get richer and the poor get poorer eh?
Orthe or",0.9107142857142857
sample_0008,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,Biomedics 1 Day Extra are daily replacement disposable contact lenses by CooperVision,1.0
sample_0009,Sysco Corp. has terminated its planned $3.5 billion takeover of,Sysco Corp. has terminated its planned $3 twin� billion takeover in,0.9076923076923077
sample_0010,"Pencarian FILM Untuk ""Peace Breaker 2017""
yuk","Pencarian FILM Untuk ""Peace Breaker 2017""
yuk",1.0
sample_0011,"Below you'll find some great videos that will encourage you, train you and","Below you'll find some great videos that will encourage you, train you and",1.0
sample_0012,"""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""","""Unemployment, Relative Price Dispersion and the Implicit Contract Model.""",1.0
sample_0013,I have existing web site brittlloyd.org. I opened a,I have existing web site brittlloyd barn stable website I to to,0.7192982456140351
sample_0014,Embrace world class facilities at East Bourne Resort & Spa Shimla.,Embrace world class facilities at East Bourne Resort & Spa Shimla.,1.0
sample_0015,"""Bake me a pie or go away,"" I've literally had my","""Bake me a pie or go away,"" I've literally had my",1.0
